0.2315	14.19844365
0.3365	28.31613255
0.4184	42.39775181
0.4647	56.53923416
0.4958	70.79246831
0.5199	84.89833808
0.539	99.09838223
0.5605	113.6335316
0.5695	128.0672584
0.5848	142.1231823
0.5893	156.247189
0.603	170.4158626
0.6118	184.4272094
0.6186	198.5929053
0.6099	212.7575943
0.622	226.8725913
0.6155	241.0812695
0.6358	255.1638031
0.6418	269.3875494
0.6363	283.6385098
0.6353	297.7930229
0.6513	311.9438436
0.6439	326.1485426
0.648	340.5628364
0.6501	354.8950839
0.6457	369.3947265
0.6438	383.6045585
0.647	397.941148
0.651	412.3757613
0.6415	426.8470421
0.6399	441.0785322
0.6497	455.2599165
0.648	469.3585165
0.6471	483.5943706
0.6485	497.8015494
0.6491	511.9680748
0.6349	526.1530528
0.6463	540.1937151
0.6418	554.2569354
0.6389	568.3071604
0.6479	582.4827983
0.6456	596.8562827
0.6422	611.1335478
0.6417	628.3112192
0.6382	645.59075
0.6307	662.8285804
0.6391	680.0871184
0.6427	697.4945402
0.6375	714.5011363
0.632	731.6615281
